source,target,peso
@Comunista_Enrustida6378,@lokideusdomultiverso7823,1
@Comunista_Enrustida6378,@laisa540,1
@adrianvantasset8081,@joelsonlimadeoliveiraolive9924,2
@joelsonlimadeoliveiraolive9924,@JéssicaAgostinhodaSilva,3
@joelsonlimadeoliveiraolive9924,@EsmeraldaFigueira,1
@joelsonlimadeoliveiraolive9924,@arthurandoointer9377,1
@adrianvantasset8081,@arthurandoointer9377,1
@joelsonlimadeoliveiraolive9924,@gabrielbastosalvim8297,1
@Eevee_verso,@gabrielbastosalvim8297,1
@Marisquizo11,@gabrielbastosalvim8297,1
@ralsei2681,@gabrielbastosalvim8297,2
@joelsonlimadeoliveiraolive9924,@JTiagoPT,1
@joelsonlimadeoliveiraolive9924,@vicenteduarte322,1
@ralsei2681,@vicenteduarte322,1
@joelsonlimadeoliveiraolive9924,@alexalves4733,1
@joelsonlimadeoliveiraolive9924,@abreumelo2594,1
@joelsonlimadeoliveiraolive9924,@gustavodb20,1
@adrianvantasset8081,@gustavodb20,1
@gustavodb20,@gustavodb20,1
@joelsonlimadeoliveiraolive9924,@glaucoalmeida13,1
@joelsonlimadeoliveiraolive9924,@pedrogamer-sc3,1
@joelsonlimadeoliveiraolive9924,@AgentOfNocturnal,1
@joelsonlimadeoliveiraolive9924,@IsaqueAlves-i2m,1
@ralsei2681,@nicholasfigueiredo3171,1
@brayan-ei9j,@thalissonsousa8190,1
@adrianvantasset8081,@thaisnero5855,1
@RKthe-ls6og,@lm7___,1
@AqueleUmaVezConhecidoComoFran,@lm7___,1
@ralsei2681,@variedadescomtiomark8656,1
@Velomim-r7,@RafaelSantanabarbosa-k8f,2
@JacksonDeyvsonX,@RafaelSantanabarbosa-k8f,2
@Sayo_schann,@RafaelSantanabarbosa-k8f,1
@RafaelSantanabarbosa-k8f,@RafaelSantanabarbosa-k8f,2
@ralsei2681,@RafaelSantanabarbosa-k8f,1
@nessfromonett20,@victordias4359,1
@Leandrosilvacosta-o7e,@victordias4359,1
@pacocaebom3559,@victordias4359,1
@qwertypoiuy4049,@RianMiguel-p1k,1
@matheuss5638,@davi2388rj,1
@ookonoha.,@marechail4563,1
@momo甘い,@marechail4563,1
@ralsei2681,@marechail4563,1
@ralsei2681,@Quelzita266,1
@rafaelwilliamfranke,@sarahPrincess-o8x,1
@luksreakt,@sarahPrincess-o8x,1
@Leandrosilvacosta-o7e,@sarahPrincess-o8x,1
@ralsei2681,@adrianamartins7634,1
@lilit_ch,@mariagregorio2820,1
@ivi8060,@sandrabraga7269,1
@Leandrosilvacosta-o7e,@JoãoCosta-o5e,1
@talktrash6795,@cunhanavarro,1
@cunhanavarro,@cunhanavarro,2
@axolot4505,@cunhanavarro,2
@felipe669,@cunhanavarro,2
@Felipe69140,@cunhanavarro,2
@nessfromonett20,@cunhanavarro,1
@ralsei2681,@cunhanavarro,1
@ClaudioBig-ev3zt,@ClaudioBig-ev3zt,1
@Oolquet23,@capivarasamo,1
@factsoflife-j5k,@ecaleticia,1
@Leandrosilvacosta-o7e,@gabis8997,1
@ralsei2681,@FranciscoLucchini,1
@FranciscoLucchini,@FranciscoLucchini,1
@Tutu7lindo,@lukas-h1u,1
@factsoflife-j5k,@alexalves4733,1
@ralsei2681,@alexalves4733,1
@adrianvantasset8081,@AldoCerrijunior,1
@ralsei2681,@BrunaPSantos999,1
@anjosanjos1650,@drihhcosta,1
@nessfromonett20,@drihhcosta,1
@RafaelReinaldo150,@Zeq-crm6,1
@luizfilipe6179,@RodrigoMoreira-td7oj,1
@CaiotaGames,@nicolassampaio1506,1
@RafaelReinaldo150,@nicolassampaio1506,1
@Alessin_mdc,@Nix_rip,1
@adrianvantasset8081,@fefe87236,1
@adrianvantasset8081,@marcelokura2534,1
@DakiniDaya,@SEGUNDOCONSTA,3
@SEGUNDOCONSTA,@SEGUNDOCONSTA,3
@powernotgamer447,@SEGUNDOCONSTA,1
@Alessin_mdc,@SEGUNDOCONSTA,1
@Guilhermeandrebma,@nessfromonett20,1
@josielalves524,@nessfromonett20,1
@caiovitta2907,@Rafa0Kaeru,1
@Alessin_mdc,@Rafa0Kaeru,1
@pacocaebom3559,@Rafa0Kaeru,1
@Alessin_mdc,@Caiquecsf,2
@Marisquizo11,@Caiquecsf,2
@Caiquecsf,@Caiquecsf,3
@romeunascimento642,@Caiquecsf,1
@ApenasMemes-0,@Caiquecsf,3
@miguagod117,@miguagod117,1
@factsoflife-j5k,@NelsonFernandes4628855,1
@Alessin_mdc,@NelsonFernandes4628855,1
@adrianvantasset8081,@stefanycisneros292,1
@flipe01,@selmabatista8731,1
@Alessin_mdc,@selmabatista8731,1
@Alessin_mdc,@AndreiaSouza-b7u,1
@adrianvantasset8081,@1594jessica,1
@joãovpif,@JackTrevor360,1
@Alessin_mdc,@JackTrevor360,1
@DenisonElierico,@fabio.1256,1
@Alessin_mdc,@Solucionando-lz6tu,1
@JackTrevor360,@LuizOtavio-cw5tq,1
@DakiniDaya,@MafaldinhaMafaldinha,1
@tha1ss,@Marisquizo11,1
@Marisquizo11,@Marisquizo11,1
@pacocaebom3559,@Marisquizo11,1
@MaryUwU774,@Kauan_Santos384,1
@Kauan_Santos384,@Kauan_Santos384,2
@Alessin_mdc,@Kauan_Santos384,1
@adrianvantasset8081,@cronosdimitri4584,2
@DakiniDaya,@cronosdimitri4584,1
@The-C-Ofc,@daynielle2023,1
@adrianvantasset8081,@daynielle2023,1
@RuanAndré-d1z,@TICasadoPIso,1
@Rafael-q9b1j,@TICasadoPIso,1
@RuanAndré-d1z,@arthur_sassepg,1
@Rafael-q9b1j,@arthur_sassepg,1
@arthur_sassepg,@arthur_sassepg,1
@Alessin_mdc,@arthur_sassepg,1
@Shadowiluminati,@alexalves4733,1
@Marisquizo11,@alexalves4733,1
@bluestar5812,@alexalves4733,1
@pacocaebom3559,@alexalves4733,1
@Shadowiluminati,@Aparecidamesquita-z2u1p,1
@Alessin_mdc,@Aparecidamesquita-z2u1p,1
@MaryUwU774,@LeonardoRibeiro-hi3xt,1
@Alessin_mdc,@LeonardoRibeiro-hi3xt,1
@Shadowiluminati,@fatima.madeira,1
@Alessin_mdc,@fatima.madeira,1
@pacocaebom3559,@fatima.madeira,1
@fatima.madeira,@fatima.madeira,3
@AKUMA0182,@neilalopes1413,1
@Starrr75322,@CanalOficialDoIvanildo,1
@Shadowiluminati,@CanalOficialDoIvanildo,1
@MaryUwU774,@CanalOficialDoIvanildo,1
@Alessin_mdc,@CanalOficialDoIvanildo,1
@adrianvantasset8081,@fanny_souls,1
@darknwrld,@maiquelcastro6169,1
@adrianvantasset8081,@thsudy,1
@DakiniDaya,@thsudy,1
@bcastiel,@GuilhermeSilveira-u3h,2
@megbotelho7752,@raízesdador,1
@luigiiradovermelho8823,@brenoalves2130,1
@camisetas-k8e,@helensalesrabelo5258,1
