id,total_comments,total_replies_received
@JosuéFucci,1,0
@yassthxz,1,0
@DamiãoCandidoAvelino,1,0
@sidartnaogautama,1,0
@gkda77,1,0
@verlaniomelo,1,0
@ZheroAbsoluto,1,0
@marisacardoso8792,1,0
@karolzinhahJP,1,0
@AnaDuarteDias,1,0
@AparecidaRamos-n2h,1,0
@MIGUEL_ANGELO-d4z,1,0
@NeyBorghett,1,0
@naciari,1,0
@AbegairMadeira-j7f,2,0
@alissonGomesFigueredo-t6q,6,0
@OdairaOdair,1,0
@MayCapanema,1,0
@rebecaleticia3221,3,0
@LPSantos-r4f,1,0
@Desco46,1,0
@L7_da_shein,1,0
@mangaverde015,1,0
@Livesaovivo-xl7dw,1,0
@mari.45637,3,1
@i5lllli,0,0
@gtznmmmm,1,0
@RubiSilva-w1e,1,0
@gabrielorlandi6129,1,0
@DouglasJunio-ov4ww,1,1
@Axioma276,0,0
@estelasofapontesrodriguesp5401,1,0
@Gabriel_ffg12,1,2
@PedropedroP-v6d,0,0
@lucasemmanuels.p920,1,0
@CristianoCaetanodeCastro,1,0
@antonionetogame8283,1,0
@crowley2447,1,0
@julietasimao1085,3,0
@Luisoficial330,1,0
@JoseOliveira-oj6hn,1,0
@CristianeAfanasievRibeiro,1,1
@fclauschannel1498,1,0
@EstelinaGomes-s9d,2,2
@ventseditor,0,0
@faelzin4063,0,0
@neidecampelo1672,1,0
@hdnilsonbeat,1,0
@yurisama4633,1,0
@AnaluizaZambrottidesantana,1,1
@Jean_fut13,0,0
@thaiscristinis5313,1,0
@andsonmuniz5348,1,0
@Arthur-q7j8h,1,0
@CRIAD0RGAMER2SP,3,0
@muitoalemdorjtv,1,2
@vaas5124,0,0
@Lazy_STR,1,0
@andrearosa1468,1,0
@raissasoares5128,1,0
@chrismv-f4o,1,0
@DKOSHARK,1,0
@DÉBORAH-x1x,1,1
@RomárioAlvesdeSousa-k9v,1,1
@AnaPaula-sd6zh,1,0
@PauloDavi1,1,0
@PatriciaAlves-z7i1m,1,3
@N11NE_Bangs,0,0
@evellyngaldino93,1,0
@JoseleneNunes-i7v,1,0
